matrix_size,gflops,time,mode,date,jobid
50000,4660.0,17.88,Simulation (simple),2021-05-02,2989432
350000,25730.0,1110.89,Simulation (simple),2021-05-02,2989438
200000,20420.0,261.23,Simulation (simple),2021-05-02,2989435
150000,17220.0,130.65,Simulation (simple),2021-05-02,2989434
450000,27630.0,2198.58,Simulation (simple),2021-05-02,2989440
400000,26580.0,1605.43,Simulation (simple),2021-05-02,2989439
100000,11980.0,55.64,Simulation (simple),2021-05-02,2989433
500000,28140.0,2961.62,Simulation (simple),2021-05-02,2989441
300000,24480.0,735.26,Simulation (simple),2021-05-02,2989437
250000,22710.0,458.75,Simulation (simple),2021-05-02,2989436
450000,25800.0,2354.4,Simulation (complex),2021-05-02,2989687
500000,26320.0,3165.59,Simulation (complex),2021-05-02,2989688
400000,24950.0,1710.02,Simulation (complex),2021-05-02,2989686
350000,24110.0,1185.39,Simulation (complex),2021-05-02,2989685
300000,22920.0,785.27,Simulation (complex),2021-05-02,2989684
250000,21290.0,489.19,Simulation (complex),2021-05-02,2989683
100000,11260.0,59.21,Simulation (complex),2021-05-02,2989680
50000,4470.0,18.64,Simulation (complex),2021-05-02,2989679
150000,16120.0,139.56,Simulation (complex),2021-05-02,2989681
200000,19210.0,277.58,Simulation (complex),2021-05-02,2989682
500000,25980.0,3207.18,Reality,2021-05-01,2988806
200000,19580.0,272.39,Reality,2021-05-01,2988806
300000,23340.0,771.3,Reality,2021-05-01,2988806
400000,24420.0,1746.88,Reality,2021-05-01,2988806
250000,21980.0,473.9,Reality,2021-05-01,2988806
100000,11680.0,57.1,Reality,2021-05-01,2988806
350000,24040.0,1188.93,Reality,2021-05-01,2988806
50000,4335.0,19.22,Reality,2021-05-01,2988806
450000,25540.0,2378.34,Reality,2021-05-01,2988806
150000,16980.0,132.52,Reality,2021-05-01,2988806
150000,16980.0,132.54,Reality,2021-05-01,2988939
450000,25750.0,2358.97,Reality,2021-05-01,2988939
250000,21990.0,473.71,Reality,2021-05-01,2988939
50000,4163.0,20.02,Reality,2021-05-01,2988939
400000,24590.0,1735.04,Reality,2021-05-01,2988939
350000,24290.0,1176.84,Reality,2021-05-01,2988939
500000,26110.0,3191.58,Reality,2021-05-01,2988939
200000,19630.0,271.71,Reality,2021-05-01,2988939
100000,11760.0,56.7,Reality,2021-05-01,2988939
300000,23320.0,771.81,Reality,2021-05-01,2988939
450000,25690.0,2364.47,Reality,2021-05-01,2989165
50000,4225.0,19.72,Reality,2021-05-01,2989165
200000,19610.0,271.91,Reality,2021-05-01,2989165
400000,24550.0,1738.22,Reality,2021-05-01,2989165
150000,17040.0,132.05,Reality,2021-05-01,2989165
500000,26060.0,3197.5,Reality,2021-05-01,2989165
100000,11920.0,55.94,Reality,2021-05-01,2989165
300000,23280.0,773.28,Reality,2021-05-01,2989165
250000,21900.0,475.74,Reality,2021-05-01,2989165
350000,24290.0,1176.92,Reality,2021-05-01,2989165
100000,11340.0,58.82,Reality,2021-05-01,2989018
300000,23240.0,774.55,Reality,2021-05-01,2989018
350000,23830.0,1199.6,Reality,2021-05-01,2989018
50000,4190.0,19.89,Reality,2021-05-01,2989018
150000,16880.0,133.3,Reality,2021-05-01,2989018
400000,24520.0,1740.31,Reality,2021-05-01,2989018
200000,19630.0,271.75,Reality,2021-05-01,2989018
250000,21750.0,479.0,Reality,2021-05-01,2989018
500000,26090.0,3193.55,Reality,2021-05-01,2989018
450000,25430.0,2389.25,Reality,2021-05-01,2989018
50000,4081.0,20.42,Reality,2021-05-01,2988937
100000,11950.0,55.8,Reality,2021-05-01,2988937
500000,25890.0,3218.95,Reality,2021-05-01,2988937
300000,23180.0,776.43,Reality,2021-05-01,2988937
150000,16880.0,133.31,Reality,2021-05-01,2988937
450000,25540.0,2378.32,Reality,2021-05-01,2988937
250000,21700.0,480.11,Reality,2021-05-01,2988937
400000,24550.0,1737.93,Reality,2021-05-01,2988937
200000,19660.0,271.34,Reality,2021-05-01,2988937
350000,23590.0,1211.76,Reality,2021-05-01,2988937
250000,21850.0,476.67,Reality,2021-05-01,2988805
500000,26110.0,3191.85,Reality,2021-05-01,2988805
50000,4191.0,19.88,Reality,2021-05-01,2988805
150000,16730.0,134.52,Reality,2021-05-01,2988805
350000,24000.0,1190.84,Reality,2021-05-01,2988805
200000,19710.0,270.59,Reality,2021-05-01,2988805
400000,24420.0,1747.03,Reality,2021-05-01,2988805
450000,25530.0,2379.83,Reality,2021-05-01,2988805
300000,23240.0,774.66,Reality,2021-05-01,2988805
100000,11770.0,56.65,Reality,2021-05-01,2988805
100000,11470.0,58.12,Reality,2021-04-30,2988673
200000,19610.0,271.96,Reality,2021-04-30,2988673
300000,23330.0,771.64,Reality,2021-04-30,2988673
400000,24570.0,1736.5,Reality,2021-04-30,2988673
500000,26130.0,3188.84,Reality,2021-04-30,2988673
100000,11880.0,56.14,Reality,2021-05-01,2988674
200000,19760.0,269.94,Reality,2021-05-01,2988674
300000,23180.0,776.56,Reality,2021-05-01,2988674
400000,24580.0,1735.78,Reality,2021-05-01,2988674
500000,26120.0,3189.82,Reality,2021-05-01,2988674
200000,19740.0,270.19,Reality,2021-05-02,2989188
100000,11650.0,57.22,Reality,2021-05-02,2989188
150000,16860.0,133.46,Reality,2021-05-02,2989188
400000,24570.0,1736.66,Reality,2021-05-02,2989188
450000,25390.0,2393.08,Reality,2021-05-02,2989188
50000,4260.0,19.56,Reality,2021-05-02,2989188
350000,23630.0,1209.41,Reality,2021-05-02,2989188
300000,23140.0,777.8,Reality,2021-05-02,2989188
250000,21600.0,482.36,Reality,2021-05-02,2989188
500000,25880.0,3219.96,Reality,2021-05-02,2989188
100000,11480.0,58.06,Reality,2021-04-30,2988671
200000,19570.0,272.55,Reality,2021-04-30,2988671
300000,23230.0,774.78,Reality,2021-04-30,2988671
400000,24570.0,1736.81,Reality,2021-04-30,2988671
500000,26130.0,3189.2,Reality,2021-04-30,2988671
100000,11580.0,57.57,Reality,2021-04-30,2988670
200000,19730.0,270.34,Reality,2021-04-30,2988670
300000,23250.0,774.05,Reality,2021-04-30,2988670
400000,24500.0,1741.4,Reality,2021-04-30,2988670
500000,26110.0,3191.39,Reality,2021-04-30,2988670
400000,24530.0,1739.49,Reality,2021-05-02,2989189
500000,26070.0,3196.06,Reality,2021-05-02,2989189
300000,23360.0,770.58,Reality,2021-05-02,2989189
150000,16890.0,133.22,Reality,2021-05-02,2989189
350000,24300.0,1176.08,Reality,2021-05-02,2989189
200000,19540.0,272.98,Reality,2021-05-02,2989189
250000,21840.0,476.95,Reality,2021-05-02,2989189
50000,4317.0,19.3,Reality,2021-05-02,2989189
100000,11720.0,56.9,Reality,2021-05-02,2989189
450000,25800.0,2354.23,Reality,2021-05-02,2989189
