date,processor,designer,frequency,word_size,transistors,frequency_min,frequency_max,process_min,process_max,core_per_die_min,core_per_die_max,die_per_module_min,die_per_module_max
1971,4004,Intel,740 kHz,4.0,2250.0,740000.0,740000.0,9.999999999999999e-06,9.999999999999999e-06,,,,
1972,PPS-25,Fairchild,400 kHz,4.0,,400000.0,400000.0,,,,,,
1972,μPD700,NEC,,4.0,,,,,,,,,
1972,8008,Intel,500 kHz,8.0,3500.0,500000.0,500000.0,9.999999999999999e-06,9.999999999999999e-06,,,,
1972,PPS-4,Rockwell,200 kHz,4.0,,200000.0,200000.0,,,,,,
1973,μCOM-4,NEC,2 MHz,4.0,2500.0,2000000.0,2000000.0,7.499999999999999e-06,7.499999999999999e-06,,,,
1973,TLCS-12,Toshiba,1 MHz,12.0,2800.0,1000000.0,1000000.0,6e-06,6e-06,,,,
1973,Mini-D,Burroughs,1 MHz,8.0,,1000000.0,1000000.0,,,,,,
1974,IMP-8,National,715 kHz,8.0,,715000.0,715000.0,,,,,,
1974,8080,Intel,2 MHz,8.0,6000.0,2000000.0,2000000.0,6e-06,6e-06,,,,
1974,μCOM-8,NEC,2 MHz,8.0,,2000000.0,2000000.0,,,,,,
1974,5065,Mostek,1.4 MHz,8.0,,1400000.0,1400000.0,,,,,,
1974,μCOM-16,NEC,2 MHz,16.0,,2000000.0,2000000.0,,,,,,
1974,IMP-4,National,500 kHz,4.0,,500000.0,500000.0,,,,,,
1974,4040,Intel,740 kHz,4.0,3000.0,740000.0,740000.0,9.999999999999999e-06,9.999999999999999e-06,,,,
1974,6800,Motorola,1 MHz,8.0,4100.0,1000000.0,1000000.0,,,,,,
1974,TMS 1000,Texas Instruments,400 kHz,4.0,8000.0,400000.0,400000.0,8e-06,8e-06,,,,
1974,PACE,National,,16.0,,,,,,,,,
1974,ISP-8A/500 (SC/MP),National,1 MHz,8.0,,1000000.0,1000000.0,,,,,,
1975,6100,Intersil,4 MHz,12.0,4000.0,4000000.0,4000000.0,,,,,,
1975,TLCS-12A,Toshiba,1.2 MHz,12.0,,1200000.0,1200000.0,,,,,,
1975,2650,Signetics,1.2 MHz,8.0,,1200000.0,1200000.0,,,,,,
1975,PPS-8,Rockwell,256 kHz,8.0,,256000.0,256000.0,,,,,,
1975,F-8,Fairchild,2 MHz,8.0,,2000000.0,2000000.0,,,,,,
1975,CDP 1801,RCA,2 MHz,8.0,5000.0,2000000.0,2000000.0,4.9999999999999996e-06,4.9999999999999996e-06,,,,
1975,6502,MOS Technology,1 MHz,8.0,3510.0,1000000.0,1000000.0,,,,,,
1975,IMP-16,National,715 kHz,16.0,,715000.0,715000.0,,,,,,
1975,PFL-16A (MN 1610),Panafacom,2 MHz,16.0,,2000000.0,2000000.0,,,,,,
1975,BPC,Hewlett Packard,10 MHz,16.0,6000.0,10000000.0,10000000.0,,,,,,
1975,MCP-1600,Western Digital,3.3 MHz,16.0,,3300000.0,3300000.0,,,,,,
1975,CP1600,General Instrument,3.3 MHz,16.0,,3300000.0,3300000.0,,,,,,
1976,CDP 1802,RCA,6.4 MHz,8.0,,6400000.0,6400000.0,,,,,,
1976,Z-80,Zilog,2.5 MHz,8.0,8500.0,2500000.0,2500000.0,4e-06,4e-06,,,,
1976,TMS9900,Texas Instruments,3.3 MHz,16.0,8000.0,3300000.0,3300000.0,,,,,,
1976,8x300,Signetics,8 MHz,8.0,,8000000.0,8000000.0,,,,,,
1977,Bellmac-8 (WE212),Bell Labs,2.0 MHz,8.0,7000.0,2000000.0,2000000.0,4.9999999999999996e-06,4.9999999999999996e-06,,,,
1977,8085,Intel,3.0 MHz,8.0,6500.0,3000000.0,3000000.0,3e-06,3e-06,,,,
1977,MC14500B,Motorola,1.0 MHz,1.0,,1000000.0,1000000.0,,,,,,
1978,6809,Motorola,1 MHz,8.0,9000.0,1000000.0,1000000.0,4.9999999999999996e-06,4.9999999999999996e-06,,,,
1978,8086,Intel,5 MHz,16.0,29000.0,5000000.0,5000000.0,3e-06,3e-06,,,,
1978,6801,Motorola,-,8.0,35000.0,,,4.9999999999999996e-06,4.9999999999999996e-06,,,,
1979,Z8000,Zilog,-,16.0,17500.0,,,,,,,,
1979,8088,Intel,5 MHz,8.0,29000.0,5000000.0,5000000.0,3e-06,3e-06,,,,
1979,68000,Motorola,8 MHz,16.0,68000.0,8000000.0,8000000.0,3.5e-06,3.5e-06,,,,
1980,16032,National Semiconductor,-,16.0,60000.0,,,,,,,,
1981,6120,Harris Corporation,10 MHz,12.0,20000.0,10000000.0,10000000.0,,,,,,
1981,ROMP,IBM,10 MHz,32.0,45000.0,10000000.0,10000000.0,2e-06,2e-06,,,,
1981,T-11,DEC,2.5 MHz,16.0,17000.0,2500000.0,2500000.0,4.9999999999999996e-06,4.9999999999999996e-06,,,,
1982,RISC-I[30],UC Berkeley,1 MHz,,44420.0,1000000.0,1000000.0,4.9999999999999996e-06,4.9999999999999996e-06,,,,
1982,FOCUS,Hewlett Packard,18 MHz,32.0,450000.0,18000000.0,18000000.0,1.5e-06,1.5e-06,,,,
1982,80186,Intel,6 MHz,16.0,55000.0,6000000.0,6000000.0,,,,,,
1987,80C186,Intel,10 MHz,16.0,56000.0,10000000.0,10000000.0,,,,,,
1982,80188,Intel,8 MHz,8.0,29000.0,8000000.0,8000000.0,,,,,,
1982,80286,Intel,6 MHz,16.0,134000.0,6000000.0,6000000.0,1.5e-06,1.5e-06,,,,
1983,RISC-II,UC Berkeley,3 MHz,,40760.0,3000000.0,3000000.0,3e-06,3e-06,,,,
1983,MIPS[31],Stanford University,2 MHz,32.0,25000.0,2000000.0,2000000.0,3e-06,3e-06,,,,
1983,65816,Western Design Center,-,16.0,,,,,,,,,
1984,68020,Motorola,16 MHz,32.0,190000.0,16000000.0,16000000.0,2e-06,2e-06,,,,
1984,32032,National Semiconductor,-,32.0,70000.0,,,,,,,,
1984,V20,NEC,5 MHz,8.0,63000.0,5000000.0,5000000.0,,,,,,
1985,80386,Intel,16–40 MHz,32.0,275000.0,16000000.0,40000000.0,1.5e-06,1.5e-06,,,,
1985,MicroVax II 78032,DEC,5 MHz,32.0,125000.0,5000000.0,5000000.0,3e-06,3e-06,,,,
1985,R2000,MIPS,8 MHz,32.0,115000.0,8000000.0,8000000.0,2e-06,2e-06,,,,
1985,Novix NC4016,Harris Corporation,8 MHz,16.0,16000.0,8000000.0,8000000.0,3e-06,3e-06,,,,
1986,Z80000,Zilog,-,32.0,91000.0,,,,,,,,
1986,SPARC MB86900,Fujitsu[35][36][37],40 MHz,32.0,800000.0,40000000.0,40000000.0,8e-07,8e-07,,,,
1986,V60[38],NEC,16 MHz,16.0,375000.0,16000000.0,16000000.0,1.5e-06,1.5e-06,,,,
1987,CVAX 78034,DEC,12.5 MHz,32.0,134000.0,12500000.0,12500000.0,2e-06,2e-06,,,,
1987,ARM2,Acorn,8 MHz,32.0,25000.0,8000000.0,8000000.0,2e-06,2e-06,,,,
1987,Gmicro/200[40],Hitachi,-,,730000.0,,,1e-06,1e-06,,,,
1987,68030,Motorola,16 MHz,32.0,273000.0,16000000.0,16000000.0,1.3e-06,1.3e-06,,,,
1987,V70[38],NEC,20 MHz,16.0,385000.0,20000000.0,20000000.0,1.5e-06,1.5e-06,,,,
1988,R3000,MIPS,12 MHz,32.0,120000.0,12000000.0,12000000.0,1.2e-06,1.2e-06,,,,
1988,80386SX,Intel,12–33 MHz,16.0,,12000000.0,33000000.0,,,,,,
1988,i960,Intel,10 MHz,33.0,250000.0,10000000.0,10000000.0,1.5e-06,1.5e-06,,,,
1989,i960CA[41],Intel,16–33 MHz,33.0,600000.0,16000000.0,33000000.0,8e-07,8e-07,,,,
1989,"VAX DC520 ""Rigel""",DEC,35 MHz,32.0,320000.0,35000000.0,35000000.0,1.5e-06,1.5e-06,,,,
1989,80486,Intel,25 MHz,32.0,1180000.0,25000000.0,25000000.0,1e-06,1e-06,,,,
1989,i860,Intel,25 MHz,32.0,1000000.0,25000000.0,25000000.0,1e-06,1e-06,,,,
1990,68040,Motorola,40 MHz,32.0,1000000.0,40000000.0,40000000.0,,,,,,
1990,POWER1,IBM,20–30 MHz,32.0,6000000.0,20000000.0,30000000.0,0.0,0.0,,,,
1991,R4000,MIPS Computer Systems,100 MHz,64.0,1000000.0,100000000.0,100000000.0,8.000000000000001e-07,8.000000000000001e-07,,,,
1991,NVAX,DEC,62.5–90.91 MHz,,1000000.0,62500000.0,90910000.0,7.5e-07,7.5e-07,,,,
1991,RSC,IBM,33 MHz,32.0,1000000.0,33000000.0,33000000.0,8.000000000000001e-07,8.000000000000001e-07,,,,
1992,SH-1,Hitachi,20 MHz[43],32.0,0.0,20000000.0,20000000.0,8.000000000000001e-07,8.000000000000001e-07,,,,
1992,Alpha 21064,DEC,100–200 MHz,64.0,1000000.0,100000000.0,200000000.0,7.5e-07,7.5e-07,,,,
1992,microSPARC I,Sun,40–50 MHz,32.0,0.0,40000000.0,50000000.0,8.000000000000001e-07,8.000000000000001e-07,,,,
1992,PA-7100,Hewlett Packard,100 MHz,32.0,0.0,100000000.0,100000000.0,8.000000000000001e-07,8.000000000000001e-07,,,,
1992,486SLC,Cyrix,40 MHz,16.0,,40000000.0,40000000.0,,,,,,
1993,HARP-1,Hitachi,120 MHz,,2000000.0,120000000.0,120000000.0,5.000000000000001e-07,5.000000000000001e-07,,,,
1993,PowerPC 601,"IBM, Motorola",50–80 MHz,32.0,2000000.0,50000000.0,80000000.0,6.000000000000001e-07,6.000000000000001e-07,,,,
1993,Pentium,Intel,60–66 MHz,32.0,3000000.0,60000000.0,66000000.0,8.000000000000001e-07,8.000000000000001e-07,,,,
1993,POWER2,IBM,55–71.5 MHz,32.0,23000000.0,55000000.0,71500000.0,7.200000000000001e-07,7.200000000000001e-07,,,,
1994,microSPARC II,Fujitsu,60–125 MHz,,2000000.0,60000000.0,125000000.0,5.000000000000001e-07,5.000000000000001e-07,,,,
1994,68060,Motorola,50 MHz,32.0,2000000.0,50000000.0,50000000.0,6.000000000000001e-07,6.000000000000001e-07,,,,
1994,Alpha 21064A,DEC,200–300 MHz,64.0,2000000.0,200000000.0,300000000.0,5.000000000000001e-07,5.000000000000001e-07,,,,
1994,R4600,QED,100–125 MHz,64.0,2000000.0,100000000.0,125000000.0,6.5e-07,6.5e-07,,,,
1994,PA-7200,Hewlett Packard,125 MHz,32.0,1000000.0,125000000.0,125000000.0,5.5e-07,5.5e-07,,,,
1994,PowerPC 603,"IBM, Motorola",60–120 MHz,32.0,1000000.0,60000000.0,120000000.0,5.000000000000001e-07,5.000000000000001e-07,,,,
1994,PowerPC 604,"IBM, Motorola",100–180 MHz,32.0,3000000.0,100000000.0,180000000.0,5.000000000000001e-07,5.000000000000001e-07,,,,
1994,PA-7100LC,Hewlett Packard,100 MHz,32.0,0.0,100000000.0,100000000.0,7.5e-07,7.5e-07,,,,
1995,Alpha 21164,DEC,266–333 MHz,64.0,9000000.0,266000000.0,333000000.0,5.000000000000001e-07,5.000000000000001e-07,,,,
1995,UltraSPARC,Sun,143–167 MHz,64.0,5000000.0,143000000.0,167000000.0,4.7000000000000005e-07,4.7000000000000005e-07,,,,
1995,SPARC64,HAL Computer Systems,101–118 MHz,64.0,,101000000.0,118000000.0,4.0000000000000003e-07,4.0000000000000003e-07,,,,
1995,Pentium Pro,Intel,150–200 MHz,32.0,5000000.0,150000000.0,200000000.0,3.5000000000000004e-07,3.5000000000000004e-07,,,,
1996,Alpha 21164A,DEC,400–500 MHz,64.0,9000000.0,400000000.0,500000000.0,3.5000000000000004e-07,3.5000000000000004e-07,,,,
1996,K5,AMD,75–100 MHz,32.0,4000000.0,75000000.0,100000000.0,5.000000000000001e-07,5.000000000000001e-07,,,,
1996,R10000,MTI,150–250 MHz,64.0,6000000.0,150000000.0,250000000.0,3.5000000000000004e-07,3.5000000000000004e-07,,,,
1996,R5000,QED,180–250 MHz,,3000000.0,180000000.0,250000000.0,3.5000000000000004e-07,3.5000000000000004e-07,,,,
1996,SPARC64 II,HAL Computer Systems,141–161 MHz,64.0,,141000000.0,161000000.0,3.5000000000000004e-07,3.5000000000000004e-07,,,,
1996,PA-8000,Hewlett-Packard,160–180 MHz,64.0,3000000.0,160000000.0,180000000.0,5.000000000000001e-07,5.000000000000001e-07,,,,
1996,P2SC,IBM,150 MHz,32.0,15000000.0,150000000.0,150000000.0,2.9000000000000003e-07,2.9000000000000003e-07,,,,
1997,SH-4,Hitachi,200 MHz,,10000000.0,200000000.0,200000000.0,2.0000000000000002e-07,2.0000000000000002e-07,,,,
1997,RS64,IBM,125 MHz,64.0,,125000000.0,125000000.0,,,,,,
1997,Pentium II,Intel,233–300 MHz,32.0,7000000.0,233000000.0,300000000.0,3.5000000000000004e-07,3.5000000000000004e-07,,,,
1997,PowerPC 620,"IBM, Motorola",120–150 MHz,64.0,6000000.0,120000000.0,150000000.0,3.5000000000000004e-07,3.5000000000000004e-07,,,,
1997,UltraSPARC IIs,Sun,250–400 MHz,64.0,5000000.0,250000000.0,400000000.0,3.5000000000000004e-07,3.5000000000000004e-07,,,,
1997,S/390 G4,IBM,370 MHz,32.0,7000000.0,370000000.0,370000000.0,5.000000000000001e-07,5.000000000000001e-07,,,,
1997,PowerPC 750,"IBM, Motorola",233–366 MHz,32.0,6000000.0,233000000.0,366000000.0,2.6e-07,2.6e-07,,,,
1997,K6,AMD,166–233 MHz,32.0,8000000.0,166000000.0,233000000.0,3.5000000000000004e-07,3.5000000000000004e-07,,,,
1998,RS64-II,IBM,262 MHz,64.0,12000000.0,262000000.0,262000000.0,3.5000000000000004e-07,3.5000000000000004e-07,,,,
1998,Alpha 21264,DEC,450–600 MHz,64.0,15000000.0,450000000.0,600000000.0,3.5000000000000004e-07,3.5000000000000004e-07,,,,
1998,MIPS R12000,SGI,270–400 MHz,64.0,6000000.0,270000000.0,400000000.0,1.8000000000000002e-07,2.5000000000000004e-07,,,,
1998,RM7000,QED,250–300 MHz,,18000000.0,250000000.0,300000000.0,2.5000000000000004e-07,2.5000000000000004e-07,,,,
